Industry,City,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Manufacturing,Winnipeg,42.98154313,45.40449405,47.0511243,42.72540625,41.61196995,39.86520873,37.72690618,38.60450253,40.90912328,42.96909508,46.16707368,47.81033525,48.80943028,50.5439955,50.43700678,51.1599595,47.0429702,48.24284113,45.7212671,45.86705355,47.9859773,46.00269893,40.5162298,38.6496129,37.53363325,39.40881155,41.35304565,42.82720903
Education and Healthcare,Winnipeg,56.28737553,56.97842583,60.75520478,61.35939748,65.00021203,62.11926605,61.97964328,61.9548685,67.0383877,64.63326333,64.96389275,65.8701875,64.93998185,68.10516938,71.84737608,73.36061785,74.78819345,78.32210143,79.55384828,82.12942408,83.2428401,84.24472645,83.78770078,90.35155858,92.63933415,93.6894029,92.30137965,99.05013023
Personal Services,Winnipeg,39.72182333,42.09941453,41.0693381,44.66209208,42.7658402,44.33377863,45.57804373,41.0670969,42.26796993,43.56517383,44.62141758,44.66743953,45.01836168,45.7557926,48.59583668,48.9821261,52.42306955,50.18336018,51.40273943,53.03658853,52.40263508,50.59326683,54.26207285,55.89395705,54.82245528,55.53485203,59.47674133,57.15738855
Primary and Utilities,Winnipeg,7.922446435,9.08632771,8.702644013,6.97954499,6.45775139,6.00400784,8.291681008,7.005091295,6.726276653,7.053051748,5.316058573,7.541793135,7.208216188,8.11052927,8.2697575,8.150715735,8.385760533,7.792187175,7.010583113,7.48063628,7.20458694,6.727844503,6.601975865,6.66485605,7.072901338,7.96450705,9.25169821,9.197914698
Public Administration and Defence,Winnipeg,24.048187,23.22118808,23.9563552,24.90506593,23.88015083,25.7983532,25.4332865,27.04616598,24.7402475,26.0778624,25.1919721,23.60051663,24.05656398,25.31517423,25.30499595,24.90307598,24.71631368,27.60905375,24.80542068,25.99697525,27.99850053,26.18900858,27.580311,25.78103703,25.38601395,25.83711648,24.02104348,23.70622978
Services Producing Industries,Winnipeg,254.026168,257.8556495,263.185077,268.0196598,265.6792965,260.1882143,262.104021,260.2949598,273.5127563,267.5739508,269.6542248,275.4175343,276.1401898,281.8804963,290.4159038,299.14252,301.1515943,305.03753,306.2124973,313.3453288,317.1433613,320.1624115,323.4875478,328.762668,325.4665413,334.1370913,333.740726,333.1935358
All Industries,Winnipeg,324.5538045,327.62123,334.1191625,331.8960068,326.7272835,320.0705168,321.9462835,321.6691695,335.7101523,332.5735808,335.7752435,347.0846085,350.890314,358.2553148,365.1818498,374.2579733,373.0583088,379.103307,377.138427,384.6568195,392.1648095,396.546503,394.323754,397.886317,396.8450083,409.1767965,411.6587868,410.6286353
Transportation and Warehousing,Winnipeg,26.23163438,27.14265075,27.7044587,26.10881418,24.37004438,21.73715033,23.9210439,23.84267233,25.79491533,25.11316675,23.6541579,24.06595145,24.36139745,24.7380454,26.60587305,25.1306262,24.34911628,22.98153573,23.04844595,23.74084455,23.36634453,24.6891744,26.25235063,24.89720258,23.60429205,24.9432416,25.20504888,26.22192345
Wholesale and Retail Trade,Winnipeg,56.2034604,55.69417055,55.66998683,55.1422036,54.9781748,54.5451247,54.81199735,52.98215943,55.1749234,52.10652555,51.49832735,55.5729005,56.54829353,53.84628455,55.21647255,58.35471363,57.9216642,57.25065628,55.28896683,60.88915008,59.43555308,60.3879771,59.1196852,60.57213088,61.5300849,62.27819988,61.81485245,62.1965152
Business Services,Halifax,9.933006865,11.95329423,11.99879723,10.7747467,12.11159018,11.61771778,14.52090258,15.17370763,15.1292549,15.75851243,17.4077703,17.78471403,21.40830493,20.22640038,21.5125157,22.18710355,22.72915235,25.49922248,24.81989423,27.72540958,24.795369,26.32892005,24.92439488,27.24092643,25.10148563,26.48383935,31.40633033,29.9813157
Construction,Halifax,9.082015228,9.772699263,8.999132175,9.382821038,8.01360295,6.243949228,6.898285373,7.610428303,7.091787868,8.6366342,7.826288003,8.119546853,9.265222558,10.03780437,10.55332792,9.702093455,10.67136415,12.48215778,12.9154207,12.03230635,12.79162228,13.6523574,13.45454573,14.92118348,15.72060448,14.1187664,14.85392768,15.94131005
"Finance, Insurance and Real Estate",Halifax,12.6047546,11.88290528,12.21610973,13.98750578,14.4941974,13.5355197,13.19229293,13.27518338,12.71889438,13.42874875,12.7309856,15.24607393,15.15006728,14.37722165,13.12083848,13.95764113,13.55902215,14.05565738,13.90105578,13.76774245,14.4258349,13.86878663,13.40429803,13.63217453,15.0609009,14.67029698,13.76554625,14.59526288
Goods Producing Industries,Halifax,24.48282845,23.80596673,25.19782028,25.33133138,23.0920652,22.69741413,18.95369083,17.67785913,18.94936585,19.49975725,18.868582,20.61488088,21.53060225,24.39421178,25.20004553,26.79660005,25.0150745,27.15051078,25.52942358,25.2934223,28.30428438,29.16217085,29.0342437,29.27086635,30.46101675,28.92072308,29.5818354,30.6428213
Information and Cultural Industries,Halifax,5.578946265,4.266935015,5.56245267,6.329224583,5.79542586,5.086315443,6.008070548,6.628885128,6.882768188,5.39545974,5.631718653,4.935417258,6.48903242,6.700323395,6.994814248,6.607683618,5.478324575,5.616845168,5.411002095,5.886774085,7.304486183,6.075021743,5.57132047,6.56661664,6.076993265,6.297200333,6.177600245,6.900820915
Manufacturing,Halifax,10.68703039,9.570734738,12.33766865,12.20722573,11.3380641,12.62019923,8.800271123,7.875836598,9.863848538,8.996461378,8.547007408,9.452751328,9.474266933,11.27327084,11.56862208,13.01605378,10.72729208,11.39260808,9.863636693,10.52120323,12.49933525,11.82125713,11.82792997,10.29064019,11.42629538,10.53253759,9.989993235,10.60035024
Education and Healthcare,Halifax,29.30348415,30.07529195,30.29225075,29.92140215,32.51015138,32.03614268,32.98660493,34.42743373,33.0583843,32.96822475,35.3779037,35.91139175,34.76049933,38.6866748,37.49135113,36.82717605,40.3632979,38.14241358,41.09299023,42.4711729,44.37993395,44.27959118,49.68943558,47.81447523,47.64913793,50.52597,50.7045494,49.19245443
Personal Services,Halifax,17.10857735,18.79440215,20.3847328,19.73375595,18.9133767,18.09255185,21.84116133,22.0423468,22.49105623,24.34688695,23.68526055,25.02331685,26.66938025,26.10362353,25.77223833,26.42149533,27.58959633,29.25678185,28.53952075,25.97465248,29.1201454,29.60710865,28.28858258,30.16660588,29.27536888,32.72831278,29.26338578,29.14534723
Primary and Utilities,Halifax,4.71378281,4.462532715,3.861019443,3.741284613,3.740398133,3.833265665,3.255134325,2.191594218,1.993729443,1.866661653,2.495286598,3.042582708,2.791112768,3.083136543,3.078095538,4.0784528,3.616418323,3.275744948,2.750366185,2.739912715,3.013326853,3.688556323,3.751768015,4.059042695,3.31411691,4.269419103,4.73791446,4.101160993
Public Administration and Defence,Halifax,18.30526528,19.1292558,18.09244728,18.06407185,17.4472346,18.78228545,17.37591883,17.45776733,19.47745488,18.52842203,18.18787625,17.30723305,14.4077528,15.17970548,14.56724605,13.38329245,17.06768505,16.74005728,16.85921465,17.60333445,16.72787818,16.53601733,17.88698083,18.2559082,18.3905713,16.9130814,16.66825338,15.87322315
Services Producing Industries,Halifax,129.2451045,134.0758205,137.6309608,139.9314065,141.6974835,134.8893863,141.5084293,145.3654273,145.3041305,148.031099,150.1958715,155.9579608,158.8127338,164.0203338,164.506037,163.9692973,171.130575,175.0373045,176.4683498,179.5063813,180.998095,180.9735383,185.507462,187.1666683,188.4169358,192.6462128,192.6850635,192.4708248
All Industries,Halifax,153.7279333,157.881787,162.8287813,165.262738,164.7895485,157.5868,160.46212,163.0432865,164.2534965,167.530856,169.0644535,176.5728418,180.343336,188.4145458,189.7060825,190.7658973,196.14565,202.187815,201.9977733,204.7998038,209.3023795,210.135709,214.5417055,216.4375345,218.8779528,221.5669358,222.266899,223.113646
Transportation and Warehousing,Halifax,8.039872185,8.171039083,9.870085885,10.23365418,9.718889663,9.61954448,9.086033228,8.326347843,8.907886958,8.006335588,8.089568338,9.10793937,10.63247235,11.2906132,10.57284696,9.654253623,10.50769143,10.75423315,10.03652884,10.12233724,9.275262665,9.60039759,10.99299388,9.57557916,10.25617484,12.01445203,9.79936924,10.39959655
Wholesale and Retail Trade,Halifax,28.371198,29.80269693,29.21408463,30.88704545,30.70661773,26.11930863,26.49744478,28.0337554,26.63843085,29.5985087,29.084788,30.64187468,29.2952244,31.4557711,34.47418613,34.9306517,33.83580548,34.9720934,35.80814318,35.95495825,34.9691849,34.67769513,34.74945595,33.9143821,36.60630325,33.01305988,34.90002878,36.382804
Business Services,Hamilton,18.61397165,18.0700995,19.1152552,19.460258,16.60543068,20.9376379,20.48903223,25.2527483,26.50810918,24.23573888,26.94058355,26.46298253,29.5978887,31.91871673,30.64794435,32.95191553,34.75146518,32.80560918,34.52442935,38.77432563,37.1834888,40.31975535,35.81685653,39.65447963,39.76946643,39.7226101,45.36951188,48.58008878
Construction,Hamilton,15.7943277,17.694446,20.16851023,21.30429918,16.12485415,15.4975413,13.83191645,14.51983755,16.45553303,15.49571295,19.20709395,16.54983018,15.88318598,17.73450428,18.86944445,18.07997695,20.51142435,17.8741439,21.6225682,27.79421298,23.07172818,26.6203374,24.19622935,26.4832386,26.3705249,28.89261178,29.32355533,27.95907425
"Finance, Insurance and Real Estate",Hamilton,18.74957773,18.61075585,19.33046905,24.2922936,20.7371512,17.2140135,20.10653595,20.19644038,21.81866568,22.17466505,21.4093184,19.66501355,23.20514113,24.65894733,23.63281643,22.60065053,23.38794568,22.37585065,25.22960955,26.07043358,23.82501608,24.25773558,26.41504968,24.37811525,25.10603915,27.05888825,26.2403545,21.93657168
Goods Producing Industries,Hamilton,101.7626244,113.0347673,125.4879675,105.3593813,98.62535695,86.03470605,78.12471678,83.80924128,86.14645538,86.40818373,90.40736908,88.59094495,89.80457068,92.80223088,100.0607134,91.89879,103.0948905,104.1883183,96.84212433,91.88934453,88.99831505,86.57544958,83.40794838,83.6852732,83.2131964,85.25877838,81.14407828,79.86318215
Information and Cultural Industries,Hamilton,5.824828338,4.831991325,5.965068995,4.409418278,6.82335292,5.716335138,5.2409897,5.883442298,8.711003788,7.94611387,5.5354123,6.734463243,7.642348083,5.43696743,7.461333383,7.819113883,7.85468883,7.72396766,7.938248725,7.833856328,7.811346078,8.444697525,5.164158965,5.901413103,6.509307668,9.367801073,6.19616296,8.01338231
Manufacturing,Hamilton,79.2461978,89.17510638,96.7334765,77.50823495,72.92978035,61.38564305,57.62873213,62.137312,62.48199228,64.1274552,65.1028561,65.7775985,68.41809613,67.43823975,73.78060418,66.74620823,76.29988325,78.34246615,69.18232033,56.7508024,57.99705935,52.98540725,51.1204094,51.5799221,49.373265,48.5796833,46.62015255,46.75263393
Education and Healthcare,Hamilton,49.14793765,50.6693924,48.92249165,55.42025133,58.37415283,53.89550728,59.3915328,60.66102333,53.11522048,49.76496283,54.66285555,54.68089818,50.73271333,59.5679218,60.60155588,62.88765543,62.27077733,65.39006273,66.61167523,70.42010045,72.62825415,77.2020632,72.63194878,71.24367918,71.49216745,77.69409988,77.77881495,76.97974353
Personal Services,Hamilton,34.4127671,36.2632456,33.54080978,35.272602,27.00169455,29.5815876,28.856391,33.46671613,32.55302625,36.09236468,36.80925695,37.76456715,36.66894178,42.03794673,37.27725318,42.21366225,47.04115055,47.43873985,45.03119223,39.75347943,48.7097659,44.6528883,45.84370765,49.28122523,46.782623,42.84252113,48.43860623,49.8461476
Primary and Utilities,Hamilton,6.722098848,6.165214953,8.585980618,6.54684695,9.570722618,9.15152174,6.66406817,7.152091775,7.208930093,6.785015558,6.097418993,6.263516305,5.50328859,7.62948688,7.410664705,7.072604823,6.283583033,7.97170836,6.0372358,7.344329148,7.9295275,6.969704928,8.091309578,5.622112553,7.469406505,7.786483305,5.200370443,5.151473995
Public Administration and Defence,Hamilton,13.70866355,11.05872758,10.26424727,13.436774,13.858933,12.61024775,12.64363335,15.3267327,15.2304751,12.1794795,11.52306828,16.06482945,14.86006683,12.73333955,13.92249398,14.98204525,13.81337215,11.6570527,13.5051177,15.13974605,15.296062,12.1181261,14.1961312,12.06176498,15.27176258,12.69161483,14.86031985,16.9694986
Services Producing Industries,Hamilton,201.37198,199.0141,194.6060843,217.0935985,201.7530265,203.9892275,206.7840685,217.4630518,217.1123033,213.7443293,218.063168,231.2132145,229.723159,246.0755855,246.5892865,253.62621,259.4801093,267.0616818,266.5328755,275.9856555,280.951685,283.7495505,286.3670515,285.414727,291.8618038,291.3412215,293.630922,303.8618178
All Industries,Hamilton,303.1346043,312.0488673,320.0940518,322.4529793,300.3783835,290.0239333,284.9087853,301.2722933,303.2587585,300.152513,308.4705373,319.8041598,319.5277295,338.877816,346.65,345.525,362.5749998,371.2500003,363.375,367.875,369.9499998,370.325,369.775,369.1,375.075,376.6,374.775,383.725
Transportation and Warehousing,Hamilton,9.523805788,12.20174888,10.33237074,12.04669928,11.8924892,10.19224302,10.0013455,10.55945641,12.82139685,13.43915203,12.2610254,15.21588325,12.65669858,14.2149134,16.3031617,14.63730915,13.08225405,18.05805368,17.30918653,16.39380435,19.38837798,17.38951318,19.8561972,16.74789393,20.05656988,18.15051968,16.44463818,19.07973483
Wholesale and Retail Trade,Hamilton,51.3904281,47.3081389,47.13537175,52.75530168,46.45982225,53.84165508,50.05460785,46.11649223,46.35440558,47.91185245,48.92164778,54.62457713,54.35936058,55.50683243,56.74272778,55.5338581,57.27845568,61.61234528,56.38341635,61.5999097,56.10937395,59.3647712,66.44300163,66.1461555,66.87386745,63.8131667,58.3025132,62.45665058
Business Services,Ottawa and Gatineau,37.6270592,46.12280903,45.68578973,43.53627668,48.9093572,47.49433348,52.26607493,53.0822595,54.80606623,57.0709168,63.0204871,68.19339765,76.4409597,76.50996535,81.41882163,78.34565805,91.71080218,75.88525288,85.24541815,88.36187038,85.7663258,92.48899253,90.85290255,86.33302035,95.31611915,96.2896336,105.4625143,100.3680991
Construction,Ottawa and Gatineau,32.90613635,29.73263908,24.7718968,28.66670783,24.36875105,21.19348463,26.1215673,26.68813718,19.87042558,18.0454594,18.68932725,20.2247881,20.82467383,25.23032638,28.0558523,27.37524768,32.00322493,30.2978661,31.297459,31.88032128,36.49175923,35.15910703,36.66134978,39.84028363,37.70115895,40.91309858,36.27462698,35.29195073
"Finance, Insurance and Real Estate",Ottawa and Gatineau,23.5672054,24.0452811,27.91982753,33.99834135,29.1793553,30.1561385,26.0026023,28.75515975,25.56723345,31.66759925,26.33808585,26.91379658,27.37648625,28.37747598,25.87566093,27.09996258,27.25954458,29.39552015,30.4033154,33.16122888,31.46697958,31.2145285,34.1048027,34.2234066,33.24107683,34.6441742,34.6366722,31.9290007
Goods Producing Industries,Ottawa and Gatineau,65.3675558,63.3815792,60.5474636,59.28403158,57.3127233,52.14363818,57.22784563,57.55969753,55.63664635,49.5020092,54.39589858,58.36311015,67.44811165,74.6626234,76.66817638,70.37642325,70.76792153,74.43771278,74.89647253,79.99358395,86.05670783,79.5232672,78.26983613,74.19341835,71.14133405,71.66106018,63.3250041,65.39761118
Information and Cultural Industries,Ottawa and Gatineau,20.96920638,23.73985383,25.84266973,21.41374658,21.08293505,17.4711208,15.8057466,17.5752084,17.92331083,20.06388208,21.15024718,22.74733548,19.76817403,21.35900975,18.60806095,18.09949173,16.1711918,15.52371978,17.24159763,21.08644343,20.98014135,17.90613055,15.3364019,17.08446998,16.19454428,20.45397605,16.53143755,17.74342748
Manufacturing,Ottawa and Gatineau,27.4657878,29.72813615,30.75986828,28.4063444,27.9232374,26.3978631,27.85007243,25.39873168,29.72156493,23.94888498,30.59592523,33.02591178,39.59024488,45.22460723,42.6295859,37.68942573,34.8350052,37.65966148,38.27324938,41.7869526,43.37375385,38.88590675,35.87418053,28.54620828,27.37435285,24.78271963,23.39360475,24.35174535
Education and Healthcare,Ottawa and Gatineau,75.6292827,80.40668213,79.8343348,83.589175,81.15357793,86.45809683,83.2879804,86.31015345,90.903097,87.30337005,88.99516748,85.45621643,87.02178833,90.4050793,99.6538486,96.06186753,97.9911107,99.6112153,107.6716803,107.007385,111.3937788,120.1816295,120.8873793,127.8411228,128.4099885,128.2084868,137.8685053,140.9845768
Personal Services,Ottawa and Gatineau,54.10997903,55.792549,55.25839773,55.25658685,59.1972271,58.24070915,60.9312167,64.47455693,59.99779093,63.24282318,60.4064716,65.89377828,70.45677593,71.5152899,71.16397835,76.40428708,74.99527105,75.86448218,73.53833665,81.22153853,80.82622953,80.75141368,75.26716433,83.65874083,84.13520378,87.94654645,84.06600028,93.33022263
Primary and Utilities,Ottawa and Gatineau,4.995631678,3.920803983,5.01569856,2.210979345,5.020734843,4.552290478,3.256205905,5.472828665,6.04465587,7.507664833,5.110646095,5.112410253,7.033192948,4.207689838,5.982738203,5.311749893,3.92969141,6.480185205,5.32576416,6.32631006,6.191194765,5.47825343,5.734305843,5.806926453,6.065822263,5.965241995,3.656772318,5.75391511
Public Administration and Defence,Ottawa and Gatineau,105.4225146,111.4866955,110.1241733,115.566202,116.7783648,116.4397008,112.0618905,108.1433193,103.9993035,99.35784955,99.4543761,98.75266195,105.1360975,111.527207,112.728493,121.7117848,128.0408128,136.139522,130.6273433,127.6376173,132.9818053,148.6112693,157.5734038,158.163274,153.4673343,158.6916438,148.5206665,148.49007
Services Producing Industries,Ottawa and Gatineau,395.3258553,425.945064,427.018016,439.522679,442.1086018,437.5251448,430.2013053,442.137219,429.8566263,441.838318,442.9688995,452.1061098,470.020771,488.6775005,502.4004545,507.410316,536.564554,534.7173448,540.939405,561.4839318,568.7523255,599.5286338,590.5103938,611.587462,617.4884233,636.1745653,630.6450783,641.0292998
All Industries,Ottawa and Gatineau,460.693411,489.3266433,487.5654798,498.8067105,499.4213253,489.6687828,487.4291508,499.6969165,485.4932725,491.3403275,497.3647983,510.46922,537.4688825,563.3401235,579.068631,577.786739,607.3324755,609.1550575,615.8358778,641.4775155,654.8090333,679.051901,668.78023,685.7808803,688.6297573,707.8356255,693.9700823,706.4269105
Transportation and Warehousing,Ottawa and Gatineau,20.8968431,20.79174563,19.35986985,18.20543888,19.75729888,19.70736038,20.80959528,19.82681223,18.78154035,19.26295913,19.13365665,18.7972527,17.351172,19.74862228,23.27866423,17.9125921,21.61226415,20.97354955,17.89140448,19.78751908,22.60473923,19.60499923,18.14987405,20.72984605,21.29227288,22.9312616,18.87023283,20.2136522
Wholesale and Retail Trade,Ottawa and Gatineau,57.10376475,63.5594473,62.99295328,67.95691173,66.0504858,61.55768485,59.0361987,63.96974988,57.87828385,63.86891788,64.47040785,65.35167055,66.46931695,69.23485073,69.67292693,71.77467238,78.78355705,81.3240826,78.3203091,83.2203292,82.73232593,88.7696704,78.33846498,83.55358163,85.43188348,87.00884305,84.68904955,87.97025118
Business Services,Toronto,189.7940215,202.0317585,222.760532,227.386411,225.7034845,220.2574653,222.508638,234.656847,252.0401123,268.5548033,298.3864473,312.8394658,345.616992,367.5671108,368.6181803,378.3945955,385.1888578,385.5335878,377.3609798,379.6990243,399.8557445,425.3780508,409.5480165,443.5922093,450.819906,450.4726958,476.079837,491.0449965
Construction,Toronto,120.5760563,113.3516908,128.2136925,127.3843773,116.6394368,103.7010384,100.1177192,100.984141,100.5307312,94.87068413,112.6070933,110.0405375,119.3447613,128.53729,136.0473963,134.5310358,147.7965138,147.0886618,162.48251,164.5031925,165.2693023,178.8051025,155.8951053,168.8662128,183.67113,182.6240213,190.4503828,185.9991393
"Finance, Insurance and Real Estate",Toronto,201.5713983,202.884595,211.612143,223.652552,220.3044915,204.5501408,201.6185805,187.4338023,204.7976588,199.846244,209.152095,209.1338623,217.4581238,214.2520833,225.9782685,232.7296578,233.7033443,251.933957,268.2400768,281.8235083,281.242384,282.192051,294.6035835,287.2549925,302.5492178,293.3001825,313.7957918,325.8083768
Goods Producing Industries,Toronto,599.1830373,582.1171598,595.30787,575.215854,525.9815833,498.671649,472.762678,461.300012,488.9642838,519.047609,542.8620183,570.6246995,585.449236,601.494559,615.7515485,648.0280515,638.1801548,662.4653638,646.6554853,603.5305575,590.0225128,589.742,511.4103038,520.9540468,542.9551278,541.1596253,552.2882288,537.4303075
Information and Cultural Industries,Toronto,75.4193407,75.16748998,83.9452051,78.25282818,64.24659113,63.12418743,70.11437058,69.1067513,76.91413713,69.23631235,81.66358063,81.41000718,86.53803985,96.39546598,104.5491003,86.48487758,85.8593711,90.40349943,94.964657,103.0887407,95.95644208,98.5849199,102.2278522,99.44665825,108.389409,94.30663893,94.30555913,89.24679058
Manufacturing,Toronto,446.9109365,432.8817105,421.917022,409.4821533,373.977379,353.076474,339.5814068,326.477332,355.8328995,393.749089,406.1771068,433.970861,440.7798613,445.8959973,452.170974,485.596059,466.6254995,487.6763005,457.3511405,415.5886635,397.842752,380.302889,328.6488048,325.611245,332.0248428,334.220262,334.092536,323.7392193
Education and Healthcare,Toronto,246.9684505,270.0445995,293.8438998,275.424703,282.4483245,292.013428,294.9637358,299.9314088,299.8751653,301.4495318,300.8035983,323.595742,324.7705508,327.2466123,329.3837408,341.7509995,359.0243928,369.795137,387.9708525,404.4627133,434.5817628,425.892077,437.4138755,461.1664585,463.343414,490.2334865,505.8927215,523.9092915
Personal Services,Toronto,228.1126838,228.299868,226.9856155,228.3250203,218.529797,227.2649688,235.3318438,226.1353365,251.74202,257.8490298,264.855976,266.805409,255.7238133,268.1806728,270.6601455,297.9495285,313.4483665,298.8387985,298.397807,309.2685235,338.9515635,336.436056,362.5997318,356.407371,355.5845983,394.7914438,394.6124048,398.4037018
Primary and Utilities,Toronto,31.69604438,35.88375858,45.1771552,38.34932353,35.36476758,41.89413648,33.06355208,33.8385391,32.60065275,30.42783573,24.07781803,26.61330078,25.32461385,27.06127163,27.53317825,27.90095648,23.75814185,27.7004011,26.8218346,23.43870165,26.91045883,30.63400878,26.86639405,26.4765888,27.25915543,24.31534238,27.74531,27.69194888
Public Administration and Defence,Toronto,86.3955504,90.44551655,94.14802163,103.3760083,97.99125303,97.77915958,101.5548016,93.46955653,92.64430888,90.10505258,84.07574113,85.91069478,82.587832,83.01164625,78.90096078,77.434068,87.55982995,79.4931141,90.65504278,85.9774157,90.61113683,103.724829,95.74490173,112.1570065,108.1525443,102.939501,111.2781388,103.6057568
Services Producing Industries,Toronto,1459.529048,1517.798945,1563.92783,1567.435408,1505.067365,1504.804723,1530.470513,1540.206073,1607.777528,1614.57286,1685.773648,1728.386193,1777.382878,1861.234453,1919.099388,1937.013035,1997.28196,2025.749103,2084.90004,2156.031698,2233.347155,2276.189818,2304.970245,2358.799475,2379.92868,2418.965848,2539.223083,2549.68664
All Industries,Toronto,2058.712088,2099.916108,2159.235698,2142.651263,2031.048945,2003.476373,2003.233193,2001.506085,2096.74181,2133.620468,2228.635668,2299.010893,2362.832118,2462.72901,2534.850935,2585.041088,2635.462118,2688.21447,2731.555528,2759.562255,2823.369668,2865.931815,2816.38055,2879.753523,2922.883808,2960.125473,3091.511308,3087.116945
Transportation and Warehousing,Toronto,105.6180325,98.24415498,101.549374,104.0422535,97.64408505,91.7989877,89.9492572,108.412499,107.934009,109.774247,114.196382,114.7394418,112.7498483,124.2602928,129.8424068,129.2047945,137.359152,135.0110065,127.5970993,137.9483343,134.9802963,154.4396868,157.2154948,149.005155,157.736147,146.7322965,172.2715325,153.0085058
Wholesale and Retail Trade,Toronto,325.649571,350.6809623,329.083037,326.975633,298.1993358,308.0163848,314.4292865,321.059871,321.8301153,317.7576403,332.639828,333.95157,351.9376798,380.3205693,411.1665843,393.0645148,395.1386473,414.740004,439.7135268,453.7634385,457.1678255,449.5421468,445.6167898,449.7696228,433.3534445,446.1896023,470.9870953,464.6592165
Business Services,Montreal,106.3001973,111.9864435,118.2213438,114.1580758,122.181154,118.2928608,117.8496745,133.211441,136.4932635,143.5555835,158.3665765,186.7416403,181.2083958,189.8919685,195.7453835,210.8288878,202.8256295,208.4378775,223.7868323,236.622752,249.6676733,247.3037945,253.3834255,274.2315108,266.3652558,275.7271595,275.4933968,267.124999
Construction,Montreal,79.15108033,84.93717145,83.8440791,84.1305486,65.80181443,66.59642633,62.69852203,62.86757203,62.6611215,60.57505473,52.90313395,52.9627054,55.451878,58.44674278,57.39789863,69.46004405,73.34219263,70.77338775,81.99099263,79.55301198,87.73868113,98.09222098,88.17503623,102.002888,98.3932113,106.64152,118.3398105,106.970512
"Finance, Insurance and Real Estate",Montreal,114.2387483,109.4339372,105.593963,105.7418073,109.8404335,106.6593923,108.5007823,107.0452873,113.9590863,115.3772393,106.12553,97.0455097,100.9375607,104.190416,103.2315355,112.1285615,115.1384608,121.9900563,117.1320225,127.6756193,132.8574388,131.7921258,132.130473,139.049396,122.6785355,125.86983,130.6218213,134.5771323
Goods Producing Industries,Montreal,400.6711875,421.8020965,443.940257,430.515648,380.5825623,371.072082,356.4070025,359.9632233,367.482426,360.298202,366.3976785,388.1909368,400.3580008,395.121763,393.1084885,413.1127455,390.384424,391.27336,390.8713138,376.786885,363.2105195,359.2898303,355.0930395,360.2161513,349.452181,351.220067,371.59238,356.1212618
Information and Cultural Industries,Montreal,50.04973503,45.58836,45.55299785,44.46088505,43.41089925,40.5418062,43.57604035,44.7930772,48.1814562,53.55034628,51.71683303,62.36824335,65.98874438,61.69695113,66.06579658,61.09616968,57.5240205,59.73532775,62.4103723,63.66886058,68.54676313,62.17142523,62.7179174,62.61696435,60.97660958,69.2313759,64.9686579,64.11342258
Manufacturing,Montreal,302.6779558,309.9275648,334.4918585,314.5447693,284.6978365,280.8130075,270.1180175,272.987313,279.4964328,269.6573918,291.2864478,308.867996,321.9032335,311.532532,314.382898,317.3883228,291.425542,299.9121853,287.0606373,270.2142933,246.290278,236.0888555,243.1317923,235.444888,224.2786843,225.1034475,225.6942208,224.2486203
Education and Healthcare,Montreal,229.4325063,233.1142803,242.011934,248.2713625,254.563749,258.4476155,259.5384103,262.4216515,263.0004055,270.8585248,259.0419473,265.346269,280.7421438,286.6518778,291.6315033,313.3624978,326.3422885,328.0229135,337.2426815,354.3876085,348.5354923,353.3088868,359.0944083,369.829976,381.9136093,392.732277,412.2632615,412.1948805
Personal Services,Montreal,181.1301698,171.2301505,162.7698575,168.6709743,167.3589485,170.7652208,175.8876843,185.3478763,173.364302,173.3698788,191.8731288,197.7402305,194.4223493,204.5432555,204.0645535,200.174751,217.8620638,211.0180438,216.3615965,205.3194123,229.9687028,253.27013,244.4103495,249.092314,261.6808205,258.176784,265.7521485,270.1954895
Primary and Utilities,Montreal,18.84215173,26.93736013,25.60431928,31.84033015,30.0829114,23.66264838,23.59046273,24.10833835,25.32487155,30.06575553,22.20809658,26.36023548,23.00288963,25.14248825,21.32769178,26.26437885,25.61668925,20.5877867,21.81968398,27.0195795,29.1815607,25.10875415,23.78621078,22.76837558,26.7802853,19.4750995,27.55834885,24.90212938
Public Administration and Defence,Montreal,71.48944505,72.97272575,75.1312908,84.8035366,87.4621368,86.021563,95.19311183,74.77336363,76.3861667,80.15992765,81.2862578,79.26900843,77.86817203,81.38143945,85.30244473,86.23559553,78.6252755,77.4806664,78.19819528,79.13029493,78.79879435,79.94584043,82.72995548,78.40109173,76.39435008,76.467274,73.95934623,80.02825378
Services Producing Industries,Montreal,1123.758465,1113.123438,1119.2074,1116.796495,1131.95282,1118.04032,1117.879753,1142.492898,1156.899518,1170.81048,1193.063165,1225.87363,1254.619588,1295.090633,1320.807708,1359.61335,1411.272618,1421.819265,1437.181505,1477.007848,1542.690128,1547.378253,1537.509905,1589.963858,1597.780788,1622.059535,1658.271113,1663.160193
All Industries,Montreal,1524.429655,1534.925538,1563.147658,1547.312148,1512.535385,1489.112403,1474.28675,1502.45612,1524.381943,1531.10868,1559.460845,1614.064568,1654.977588,1690.212395,1713.916195,1772.726098,1801.657043,1813.092625,1828.052818,1853.79473,1905.900648,1906.66808,1892.602945,1950.18001,1947.232968,1973.279603,2029.863493,2019.281458
